text_key,zh-TW,en-US
sidebarMenu.overview,總攬,Overview
sidebarMenu.overview.overview-kpi,KPI總覽,KPI Overview
sidebarMenu.overview.project-settings,專案設定,Project Settings
sidebarMenu.equipment-management,設備管理,Equipment Management
sidebarMenu.equipment-management.equipment-list,設備列表,Equipment List
sidebarMenu.equipment-management.water-system-diagram,水路系統圖,Water System Diagram
sidebarMenu.energy-simulation,節能模擬,Energy Simulation
sidebarMenu.energy-simulation.overview-data-cleaning,總攬,Overview
sidebarMenu.energy-simulation.csv-project,專案CSV,Project CSV
sidebarMenu.energy-simulation.energy-simulation-settings,數據清洗,Data Cleaning
sidebarMenu.energy-simulation.energy-simulation-results,M&V基準線,M&V Baseline
sidebarMenu.energy-simulation.energy-simulation-report,模擬報告,Simulation Report
sidebarMenu.modelManagement,模型管理,Model Management
sidebarMenu.modelManagement.csv-list,CSV列表,CSV List
sidebarMenu.modelManagement.model-list,模型列表,Model List
sidebarMenu.optimization,最佳化策略,Optimization Strategy
sidebarMenu.optimization.optimization-strategies-list,最佳化策略列表,Optimization Strategy List
sidebarMenu.optimization.add-optimization-strategies,新增最佳化策略,Add Optimization Strategy
